completeID,fresh_weight,width,height,diameter,thickness,accession,species
PARL 845-3-3,909.4,20.7,28.1,77.1,27.4,845,O. ficus-indica
PARL 845-3-4,1207.1,22.9,38.4,97.9,19.7,845,O. ficus-indica
PARL 845-3-5,555.4,19.2,27.5,73.4,12.2,845,O. ficus-indica
PARL 845-3-6,888.6,22.3,34.8,89.6,16.9,845,O. ficus-indica
PARL 845-3-7,1191.6,22.4,37.2,94.8,20.6,845,O. ficus-indica
PARL 845-3-8,1355.9,25.1,43.2,106.4,19.2,845,O. ficus-indica
PARL 845-4-1,456.6,15.7,25.6,66.3,16.2,845,O. ficus-indica
PARL 845-4-2,829.5,19.6,33.9,81.8,21.4,845,O. ficus-indica
PARL 845-4-3,749.3,20.2,33.4,86.6,18.3,845,O. ficus-indica
PARL 845-4-4,501.5,16.1,29.1,65.7,20.3,845,O. ficus-indica
PARL 845-4-5,495.5,17.1,24.2,64.1,19.5,845,O. ficus-indica
PARL 845-4-6,609.8,18.3,29.7,75.3,16.8,845,O. ficus-indica
PARL 845-4-7,660.4,17.3,34.6,84.2,16.8,845,O. ficus-indica
PARL 845-4-8,467.9,18.2,27.4,69.2,16.9,845,O. ficus-indica
PARL 854-1-1,645.5,18.6,28,73.6,23.41,854,O. ficus-indica
PARL 854-1-2,479.6,15.3,24,64,20.47,854,O. ficus-indica
PARL 854-1-3,436.7,16.2,30.6,72.4,21.27,854,O. ficus-indica
PARL 854-1-4,307.6,14.2,24,62.5,13,854,O. ficus-indica
PARL 854-1-5,564.7,19.3,28.4,71.7,18.34,854,O. ficus-indica
PARL 854-1-6,517.5,18,27,69.5,16.27,854,O. ficus-indica
PARL 854-1-7,578.7,17.1,25.6,67.7,21.54,854,O. ficus-indica
PARL 854-1-8,398.5,14.5,24.5,62.5,17.32,854,O. ficus-indica
PARL 854-2-1,489,16.4,27.1,65.7,19.4,854,O. ficus-indica
PARL 854-2-2,319.8,13.3,19.5,51.8,22.5,854,O. ficus-indica
PARL 854-2-3,448.4,14.6,31.1,30.6,16.3,854,O. ficus-indica
PARL 854-2-4,347.5,15.7,25.5,62.2,14.6,854,O. ficus-indica
PARL 854-2-5,428,18.7,30.1,73.2,13.4,854,O. ficus-indica
PARL 854-2-6,377.9,13.8,25.9,65.7,16.6,854,O. ficus-indica
PARL 854-2-7,323.8,13.4,22.5,53.2,18.4,854,O. ficus-indica
PARL 854-2-8,365.4,14.5,27.4,65.5,16.6,854,O. ficus-indica
PARL 854-4-1,258.5,13.2,23.9,58.1,13.6,854,O. ficus-indica
PARL 854-4-2,407.3,14.3,24.9,59.1,20.9,854,O. ficus-indica
PARL 854-4-3,355.9,15.6,20.8,55.4,21.3,854,O. ficus-indica
PARL 854-4-4,484.8,16.3,22.7,58.4,22.3,854,O. ficus-indica
PARL 854-4-5,580,16.4,28.6,69.4,16.2,854,O. ficus-indica
PARL 854-4-6,580.2,18.5,24.4,66.4,19.3,854,O. ficus-indica
PARL 854-4-7,301.7,13.3,23.1,58.7,15.7,854,O. ficus-indica
PARL 854-4-8,414.8,14.8,22.6,56.9,21.6,854,O. ficus-indica
